Country;Region
Antilles Neerlandeses;Sud-Amèrica
Argentina;Sud-Amèrica
Aruba;Sud-Amèrica
Bolívia;Sud-Amèrica
Brasil;Sud-Amèrica
Colòmbia;Sud-Amèrica
Equador;Sud-Amèrica
Guyana;Sud-Amèrica
País;Sud-Amèrica
Paraguai;Sud-Amèrica
Perú;Sud-Amèrica
Suriname;Sud-Amèrica
Trinitat i Tobago;Sud-Amèrica
Uruguai;Sud-Amèrica
Veneçuela;Sud-Amèrica
Xile;Sud-Amèrica
Canadà;Amèrica del Nord
Estats Units d'Amèrica;Amèrica del Nord
Mèxic;Amèrica del Nord
Antigua i Barbuda;Centreamèrica
Antilles Neerlandeses;Centreamèrica
Bahames;Centreamèrica
Barbados;Centreamèrica
Belize;Centreamèrica
Costa Rica;Centreamèrica
Cuba;Centreamèrica
Dominica;Centreamèrica
El Salvador;Centreamèrica
Guatemala;Centreamèrica
Haití;Centreamèrica
Hondures;Centreamèrica
Illes Caiman;Centreamèrica
Illes turques i caicos;Centreamèrica
Illes Verges;Centreamèrica
Illes Verges dels Estats Units;Centreamèrica
Jamaica;Centreamèrica
Mèxic;Centreamèrica
Nicaragua;Centreamèrica
Panamà;Centreamèrica
República Dominicana;Centreamèrica
Saint Kitts i Nevis;Centreamèrica
Saint Lucia;Centreamèrica
Sant Vicent i les Granadines;Centreamèrica
Algèria;Àfrica
Anar;Àfrica
Angola;Àfrica
Benín;Àfrica
Burkina Faso;Àfrica
Burundi;Àfrica
Camerun;Àfrica
Cap Verd;Àfrica
Comores;Àfrica
Congo;Àfrica
Costa d'Ivori;Àfrica
Egipte;Àfrica
Eritrea;Àfrica
Etiòpia;Àfrica
Gabon;Àfrica
Gàmbia;Àfrica
Ghana;Àfrica
Guinea;Àfrica
Guinea Bissau;Àfrica
Guinea Equatorial;Àfrica
Kenya;Àfrica
Libèria;Àfrica
Líbia;Àfrica
Madagascar;Àfrica
Malawi;Àfrica
Mali;Àfrica
Marroc;Àfrica
Maurici;Àfrica
Mauritània;Àfrica
Mayotte;Àfrica
Moçambic;Àfrica
Níger;Àfrica
Nigèria;Àfrica
República Centreafricana;Àfrica
Rwanda;Àfrica
Sao Tomé i Príncipe;Àfrica
Senegal;Àfrica
Seychelles;Àfrica
Sierra Leone;Àfrica
Sud-Àfrica;Àfrica
Sudan;Àfrica
Swazilàndia;Àfrica
Tanzània;Àfrica
Tunísia;Àfrica
Txad;Àfrica
Uganda;Àfrica
Zàmbia;Àfrica
Zimbabwe;Àfrica
Albània;Europa
Alemanya;Europa
Andorra;Europa
Àustria;Europa
Bèlgica;Europa
Bielorússia;Europa
Bòsnia i Hercegovina;Europa
Bulgària;Europa
Croàcia;Europa
Dinamarca;Europa
Eslovàquia;Europa
Eslovènia;Europa
França;Europa
Grècia;Europa
Hongria;Europa
Illes Faroe;Europa
Irlanda;Europa
Islàndia;Europa
Itàlia;Europa
Iugoslàvia;Europa
Liechtenstein;Europa
Luxemburg;Europa
Macedònia;Europa
Moldàvia;Europa
Noruega;Europa
Països Baixos;Europa
Polònia;Europa
Portugal;Europa
Regne Unit;Europa
República Txeca;Europa
Romania;Europa
Rússia;Europa
San Marino;Europa
Suècia;Europa
Suïssa;Europa
Ucraïna;Europa
Oman;Àsia
Pakistan;Àsia
Papua Nova Guinea;Àsia
Qatar;Àsia
Singapur;Àsia
Síria;Àsia
Sri Lanka;Àsia
Tailàndia;Àsia
Taiwan;Àsia
Turkmenistan;Àsia
Turquia;Àsia
Uzbekistan;Àsia
Vietnam;Àsia
Xina;Àsia
Austràlia;Oceania
Fiji;Oceania
Nova Caledònia;Oceania
Nova Zelanda;Oceania
Samoa;Oceania
Tonga;Oceania
Vanuatu;Oceania
Wallis i Futuna;Oceania
Emirats Àrabs Units;Àsia
Bahrain;Àsia
Finlàndia;Europa
Hong Kong;Àsia
Japó;Àsia
Líban;Àsia
Lituània;Europa
Letònia;Europa
Malàisia;Àsia
Estònia;Europa
Malta;Europa
Aràbia Saudita;Àsia
Gibraltar;Europa
Jordània;Àsia
Xipre;Europa
Bangla Desh;Àsia
Indonèsia;Oceania
Israel;Àsia
Índia;Àsia
Iraq;Àsia
Iran;Àsia
Corea del Nord;Àsia
Corea del Sud;Àsia
Kuwait;Àsia
Polinèsia Francesa;Oceania
Filipines;Àsia
Iemen;Àsia
Azerbaidjan;Àsia
Geòrgia;Àsia
Myanmar;Àsia
Mongòlia;Àsia
Kazakhstan;Àsia
Nepal;Àsia
Anguilla;Amèrica del Nord
Armènia;Àsia
Kirguizistan;Àsia
Cambodja;Àsia
Saint Pierre i Miquelon;Amèrica del Nord
Macau;Àsia
Afganistan;Àsia
Laos;Àsia
Illes Bermudes;Amèrica del Nord
Illes Mariannes del Nord;Oceania
Brunei;Àsia
Maldives;Àsia
Illes Marshall;Oceania
Palestina;Àsia
Grenada;Amèrica del Nord
Nauru;Oceania
Guam;Amèrica del Nord
Tadjikistan;Àsia
Botswana;Àfrica
Bhutan;Àsia
Illes Cook;Oceania
Tokelau;Oceania
Tuvalu;Oceania
Samoa americana;Oceania
Groenlàndia;Amèrica del Nord
Estat de la Ciutat del Vaticà;Europa
Estats federats de Micronèsia;Oceania
Illa Bouvet;Àfrica
Illes Malvines (Malvines);Sud-Amèrica
Niue;Oceania
Montenegro;Europa
Montserrat;Amèrica del Nord
Illes menors periòdics dels Estats Units;Amèrica del Nord
Illes Cocos (Keeling);Oceania
Timor Oriental;Àsia
Territoris del sud francès;Altres
Lesotho;Àfrica
Somàlia;Àfrica
Territori britànic de l'oceà Índic;Àsia
Kiribati;Oceania
Altres països o territoris;Altres
Curaçao;Sud-Amèrica
Saint Barth;Amèrica del Nord
Illa de Nadal;Àsia
Palau;Oceania
Illes Salomó;Oceania
Antàrtida;Altres
Djibouti;Àfrica
Namíbia;Àfrica
QV;Altres
QW;Altres
XP;Altres
XA;Altres
XZ;Altres
XR;Altres
QS;Altres
QR;Altres
TP;Altres
CS;Altres
XS;Altres
XK;Altres
XM;Altres
X0;Altres
EU;Altres
QX;Altres
QZ;Altres
SX;Altres
BQ;Altres
SS;Altres
